Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,04:00-04:30,Fixed,ATM,Offline,On-Us,509316,0,509316,217,146,363
2026-03-31,04:00-04:30,Fixed,ATM,Offline,Off-Us,453742,586527,-132785,243,141,384
2026-03-31,04:00-04:30,Fixed,BCMS,Online,On-Us,507476,832983,-325507,81,266,347
2026-03-31,04:00-04:30,Fixed,BCMS,Online,Off-Us,419348,615705,-196357,64,94,158
2026-03-31,04:00-04:30,Fixed,ENET,Online,On-Us,393256,299034,94222,207,134,341
2026-03-31,04:00-04:30,Fixed,ENET,Online,Off-Us,569705,517959,51746,65,11,76
2026-03-31,04:00-04:30,Fixed,TELL,Offline,On-Us,483077,823825,-340748,12,84,96
2026-03-31,04:00-04:30,Fixed,TELL,Offline,Off-Us,667133,871813,-204680,299,99,398
2026-03-31,04:00-04:30,Saving,ATM,Offline,On-Us,275915,677952,-402037,162,286,448
2026-03-31,04:00-04:30,Saving,ATM,Offline,Off-Us,707124,270198,436926,79,33,112
2026-03-31,04:00-04:30,Saving,BCMS,Online,On-Us,561960,827440,-265480,164,192,356
2026-03-31,04:00-04:30,Saving,BCMS,Online,Off-Us,408830,745602,-336772,210,118,328
2026-03-31,04:00-04:30,Saving,ENET,Online,On-Us,364261,308521,55740,186,45,231
2026-03-31,04:00-04:30,Saving,ENET,Online,Off-Us,212401,426527,-214126,168,291,459
2026-03-31,04:00-04:30,Saving,TELL,Offline,On-Us,462131,668923,-206792,189,117,306
2026-03-31,04:00-04:30,Saving,TELL,Offline,Off-Us,673064,322353,350711,264,52,316
2026-03-31,04:00-04:30,Current,ATM,Offline,On-Us,485323,577341,-92018,127,193,320
2026-03-31,04:00-04:30,Current,ATM,Offline,Off-Us,571542,521024,50518,89,80,169
2026-03-31,04:00-04:30,Current,BCMS,Online,On-Us,404106,520025,-115919,59,69,128
2026-03-31,04:00-04:30,Current,BCMS,Online,Off-Us,570174,533715,36459,111,40,151
2026-03-31,04:00-04:30,Current,ENET,Online,On-Us,665960,875592,-209632,217,280,497
2026-03-31,04:00-04:30,Current,ENET,Online,Off-Us,296219,324494,-28275,33,239,272
2026-03-31,04:00-04:30,Current,TELL,Offline,On-Us,454424,618856,-164432,219,22,241
2026-03-31,04:00-04:30,Current,TELL,Offline,Off-Us,208639,69843,138796,137,74,211
