Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-28,13:00-13:30,Fixed,ATM,Offline,On-Us,307057,493687,-186630,80,73,153
2026-04-28,13:00-13:30,Fixed,ATM,Offline,Off-Us,728361,901154,-172793,152,179,331
2026-04-28,13:00-13:30,Fixed,BCMS,Online,On-Us,552654,433856,118798,280,118,398
2026-04-28,13:00-13:30,Fixed,BCMS,Online,Off-Us,729630,219205,510425,41,66,107
2026-04-28,13:00-13:30,Fixed,ENET,Online,On-Us,599121,765175,-166054,282,55,337
2026-04-28,13:00-13:30,Fixed,ENET,Online,Off-Us,507157,759246,-252089,159,229,388
2026-04-28,13:00-13:30,Fixed,TELL,Offline,On-Us,638419,888980,-250561,174,143,317
2026-04-28,13:00-13:30,Fixed,TELL,Offline,Off-Us,550912,603080,-52168,193,77,270
2026-04-28,13:00-13:30,Saving,ATM,Offline,On-Us,644129,589964,54165,266,277,543
2026-04-28,13:00-13:30,Saving,ATM,Offline,Off-Us,764605,662550,102055,266,263,529
2026-04-28,13:00-13:30,Saving,BCMS,Online,On-Us,847228,188646,658582,131,159,290
2026-04-28,13:00-13:30,Saving,BCMS,Online,Off-Us,202957,1657,201300,72,23,95
2026-04-28,13:00-13:30,Saving,ENET,Online,On-Us,487467,655843,-168376,72,117,189
2026-04-28,13:00-13:30,Saving,ENET,Online,Off-Us,838403,645197,193206,224,222,446
2026-04-28,13:00-13:30,Saving,TELL,Offline,On-Us,47702,350006,-302304,191,297,488
2026-04-28,13:00-13:30,Saving,TELL,Offline,Off-Us,845197,668470,176727,120,16,136
2026-04-28,13:00-13:30,Current,ATM,Offline,On-Us,671736,210960,460776,156,141,297
2026-04-28,13:00-13:30,Current,ATM,Offline,Off-Us,828580,71131,757449,169,164,333
2026-04-28,13:00-13:30,Current,BCMS,Online,On-Us,531302,576710,-45408,177,14,191
2026-04-28,13:00-13:30,Current,BCMS,Online,Off-Us,119366,719150,-599784,182,185,367
2026-04-28,13:00-13:30,Current,ENET,Online,On-Us,415287,759584,-344297,26,100,126
2026-04-28,13:00-13:30,Current,ENET,Online,Off-Us,203440,346569,-143129,185,256,441
2026-04-28,13:00-13:30,Current,TELL,Offline,On-Us,960666,497549,463117,30,80,110
2026-04-28,13:00-13:30,Current,TELL,Offline,Off-Us,504884,162934,341950,247,285,532
