Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-04-30,18:30-19:00,Fixed,ATM,Offline,On-Us,589894946,619511160,-29616214,2353,806,3159
2026-04-30,18:30-19:00,Fixed,ATM,Offline,Off-Us,304408025,331280509,-26872484,3891,1024,4915
2026-04-30,18:30-19:00,Fixed,BCMS,Online,On-Us,721126777,749398258,-28271481,4293,4211,8504
2026-04-30,18:30-19:00,Fixed,BCMS,Online,Off-Us,251076194,278822867,-27746673,1287,3973,5260
2026-04-30,18:30-19:00,Fixed,ENET,Online,On-Us,682636098,706091406,-23455308,2501,4028,6529
2026-04-30,18:30-19:00,Fixed,ENET,Online,Off-Us,612548134,630471168,-17923034,993,1266,2259
2026-04-30,18:30-19:00,Fixed,TELL,Offline,On-Us,408872071,427102288,-18230217,3548,1238,4786
2026-04-30,18:30-19:00,Fixed,TELL,Offline,Off-Us,326578681,354861698,-28283017,2031,854,2885
2026-04-30,18:30-19:00,Saving,ATM,Offline,On-Us,598763219,621845886,-23082667,3405,1379,4784
2026-04-30,18:30-19:00,Saving,ATM,Offline,Off-Us,633967582,650989785,-17022203,3321,2142,5463
2026-04-30,18:30-19:00,Saving,BCMS,Online,On-Us,265092777,278669573,-13576796,4209,3856,8065
2026-04-30,18:30-19:00,Saving,BCMS,Online,Off-Us,491416144,521603259,-30187115,3135,3836,6971
2026-04-30,18:30-19:00,Saving,ENET,Online,On-Us,487464793,512982535,-25517742,2789,3915,6704
2026-04-30,18:30-19:00,Saving,ENET,Online,Off-Us,252881017,272364953,-19483936,2762,4820,7582
2026-04-30,18:30-19:00,Saving,TELL,Offline,On-Us,561949022,590532915,-28583893,4155,3785,7940
2026-04-30,18:30-19:00,Saving,TELL,Offline,Off-Us,263197419,291737666,-28540247,3563,1691,5254
2026-04-30,18:30-19:00,Current,ATM,Offline,On-Us,273058291,294080232,-21021941,1684,3670,5354
2026-04-30,18:30-19:00,Current,ATM,Offline,Off-Us,381174662,397314983,-16140321,2035,1433,3468
2026-04-30,18:30-19:00,Current,BCMS,Online,On-Us,479206998,494540666,-15333668,2686,3530,6216
2026-04-30,18:30-19:00,Current,BCMS,Online,Off-Us,241936035,262081875,-20145840,1167,4090,5257
2026-04-30,18:30-19:00,Current,ENET,Online,On-Us,539795357,554764831,-14969474,3597,3788,7385
2026-04-30,18:30-19:00,Current,ENET,Online,Off-Us,333756245,364689670,-30933425,1245,4476,5721
2026-04-30,18:30-19:00,Current,TELL,Offline,On-Us,386089047,406025619,-19936572,1710,4612,6322
2026-04-30,18:30-19:00,Current,TELL,Offline,Off-Us,594609009,620845853,-26236844,2305,3099,5404
