Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-05-15,08:00-08:30,Fixed,ATM,Offline,On-Us,223374832,242120929,-18746097,1809,1446,3255
2026-05-15,08:00-08:30,Fixed,ATM,Offline,Off-Us,727880791,746772429,-18891638,1109,3500,4609
2026-05-15,08:00-08:30,Fixed,BCMS,Online,On-Us,481075768,492457443,-11381675,4662,4782,9444
2026-05-15,08:00-08:30,Fixed,BCMS,Online,Off-Us,264950552,282008778,-17058226,1196,3404,4600
2026-05-15,08:00-08:30,Fixed,ENET,Online,On-Us,688169160,701356621,-13187461,4949,4421,9370
2026-05-15,08:00-08:30,Fixed,ENET,Online,Off-Us,261230739,280392275,-19161536,3876,1327,5203
2026-05-15,08:00-08:30,Fixed,TELL,Offline,On-Us,568500842,579178027,-10677185,970,914,1884
2026-05-15,08:00-08:30,Fixed,TELL,Offline,Off-Us,567264832,579487197,-12222365,2420,3130,5550
2026-05-15,08:00-08:30,Saving,ATM,Offline,On-Us,286737598,301906657,-15169059,1337,3413,4750
2026-05-15,08:00-08:30,Saving,ATM,Offline,Off-Us,327254581,338163427,-10908846,2029,2860,4889
2026-05-15,08:00-08:30,Saving,BCMS,Online,On-Us,238351774,251372342,-13020568,2868,4531,7399
2026-05-15,08:00-08:30,Saving,BCMS,Online,Off-Us,337002543,352794593,-15792050,3068,3617,6685
2026-05-15,08:00-08:30,Saving,ENET,Online,On-Us,311084029,332912181,-21828152,2798,2044,4842
2026-05-15,08:00-08:30,Saving,ENET,Online,Off-Us,656463961,670100010,-13636049,1365,3999,5364
2026-05-15,08:00-08:30,Saving,TELL,Offline,On-Us,665028070,686197582,-21169512,978,2210,3188
2026-05-15,08:00-08:30,Saving,TELL,Offline,Off-Us,455592273,477404420,-21812147,4483,826,5309
2026-05-15,08:00-08:30,Current,ATM,Offline,On-Us,459653588,473234812,-13581224,4909,4246,9155
2026-05-15,08:00-08:30,Current,ATM,Offline,Off-Us,434832683,454479123,-19646440,4765,3028,7793
2026-05-15,08:00-08:30,Current,BCMS,Online,On-Us,271086905,281072992,-9986087,2911,2933,5844
2026-05-15,08:00-08:30,Current,BCMS,Online,Off-Us,655824965,670070750,-14245785,4134,3235,7369
2026-05-15,08:00-08:30,Current,ENET,Online,On-Us,467611383,488000591,-20389208,4235,4002,8237
2026-05-15,08:00-08:30,Current,ENET,Online,Off-Us,326805390,338497327,-11691937,3945,2698,6643
2026-05-15,08:00-08:30,Current,TELL,Offline,On-Us,608650247,625828695,-17178448,4037,1170,5207
2026-05-15,08:00-08:30,Current,TELL,Offline,Off-Us,591543148,610930685,-19387537,4313,4604,8917
