Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-03-31,01:00-01:30,Fixed,ATM,Offline,On-Us,307975,361021,-53046,114,249,363
2026-03-31,01:00-01:30,Fixed,ATM,Offline,Off-Us,373711,615670,-241959,126,256,382
2026-03-31,01:00-01:30,Fixed,BCMS,Online,On-Us,390068,702413,-312345,213,137,350
2026-03-31,01:00-01:30,Fixed,BCMS,Online,Off-Us,247674,606479,-358805,175,70,245
2026-03-31,01:00-01:30,Fixed,ENET,Online,On-Us,792183,540500,251683,148,76,224
2026-03-31,01:00-01:30,Fixed,ENET,Online,Off-Us,399120,454262,-55142,67,40,107
2026-03-31,01:00-01:30,Fixed,TELL,Offline,On-Us,512341,275280,237061,251,143,394
2026-03-31,01:00-01:30,Fixed,TELL,Offline,Off-Us,476753,735938,-259185,105,214,319
2026-03-31,01:00-01:30,Saving,ATM,Offline,On-Us,344687,501356,-156669,250,145,395
2026-03-31,01:00-01:30,Saving,ATM,Offline,Off-Us,478693,248220,230473,77,60,137
2026-03-31,01:00-01:30,Saving,BCMS,Online,On-Us,404679,520897,-116218,236,242,478
2026-03-31,01:00-01:30,Saving,BCMS,Online,Off-Us,479693,615306,-135613,192,253,445
2026-03-31,01:00-01:30,Saving,ENET,Online,On-Us,612670,789764,-177094,36,144,180
2026-03-31,01:00-01:30,Saving,ENET,Online,Off-Us,832906,443959,388947,297,149,446
2026-03-31,01:00-01:30,Saving,TELL,Offline,On-Us,370514,682659,-312145,232,182,414
2026-03-31,01:00-01:30,Saving,TELL,Offline,Off-Us,405291,629967,-224676,200,147,347
2026-03-31,01:00-01:30,Current,ATM,Offline,On-Us,890650,498816,391834,88,25,113
2026-03-31,01:00-01:30,Current,ATM,Offline,Off-Us,575188,401392,173796,295,243,538
2026-03-31,01:00-01:30,Current,BCMS,Online,On-Us,493626,313646,179980,289,81,370
2026-03-31,01:00-01:30,Current,BCMS,Online,Off-Us,481713,414186,67527,164,166,330
2026-03-31,01:00-01:30,Current,ENET,Online,On-Us,774657,392965,381692,27,292,319
2026-03-31,01:00-01:30,Current,ENET,Online,Off-Us,283727,662779,-379052,10,122,132
2026-03-31,01:00-01:30,Current,TELL,Offline,On-Us,373376,401397,-28021,85,59,144
2026-03-31,01:00-01:30,Current,TELL,Offline,Off-Us,522977,671197,-148220,168,227,395
